固定資産コード,固定資産補助コード,名称,減価償却資産区分,資産種類コード,資産種類名,勘定科目コード,勘定科目名,口座コード,口座名,部門コード,部門名,資産グループコード,資産グループ名,製造原価割合,販管費割合,営業外費割合,原価区分(一括償却),数量,数量の単位,所在地郵便番号,所在地住所,取得年月日,使用開始日,取得価額,購入先コード,購入先名,使用目的,少額資産の特例,保険種目,保険証券番号,保険金額,保守契約番号,保守契約定期点検,処分区分,処分年月日,売却先コード,売却先名,売却価額,処分見込価額,処分時帳簿価額,貸与先コード,貸与先名,貸与年月日,回収予定日,購入時証憑書番号,購入時課税区分,購入時消費税等,購入時消費税率,購入時元帳摘要,支払予定日,処分時証憑書番号,処分時課税区分,処分時消費税等,処分時消費税率,処分時元帳摘要,管理情報項目１,管理情報項目２,管理情報項目３,管理情報項目４,管理情報項目５,管理情報項目６,管理情報項目７,管理情報項目８,管理情報項目９,管理情報項目１０,管理情報項目１１,管理情報項目１２,管理情報項目１３,管理情報項目１４,管理情報項目１５,管理情報項目１６,管理情報項目１７,管理情報項目１８,管理情報項目１９,管理情報項目２０,備考１,備考２,構造・用途,細目,償却方法コード,償却方法名,耐用年数,耐用年数(月数),償却率,償却期間(分子),償却期間(分母),残存割合(生物用),残存簿価,自社償却方法コード,自社償却方法名,自社取得価額,自社償却基礎金額,自社調整前償却額,自社償却保証額,自社保証率,自社改定取得価額,自社改定償却率,自社耐用年数,自社耐用年数(月数),自社償却率,自社償却期間(分子),自社償却期間(分母),自社残存割合,自社償却可能限度額率,自社残存簿価,自社取得価額(翌期),自社耐用年数(翌期),自社償却率(翌期),自社残存割合(翌期),摘要表示方法,摘要表示内容,期首帳簿価額,前期繰越超過額,前期繰越不足額,償却の基礎金額,調整前償却額,償却保証額,保証率,改定取得価額,改定償却率,増加償却割増率,増加償却額,普通償却限度額,特別償却区分,特別償却限度額,償却限度額合計,減価償却実施額,減損損失額,当期償却額,償却実施額(製造原価),償却実施額(販管費),償却実施額(営業外費),償却累計額,期末帳簿価額,圧縮損計上,積立金計上,期首積立金,積立金取崩,期末積立金,認容償却不足,認容積立金取崩,次期繰越超過額,次期繰越不足額,償却資産申告区分コード,償却資産申告区分,申告先市町村コード,申告先市町村名,償却資産申告用資産種類,償却資産申告用耐用年数
21,0,ﾏｯｽﾙｽｰﾂ　2B030　　　農林057　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
22,0,ﾏｯｽﾙｽｰﾂ　2B031　　　農林058　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
23,0,ﾏｯｽﾙｽｰﾂ　2B032　　　農林059　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
24,0,ﾏｯｽﾙｽｰﾂ　2B033　　　農林060　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
25,0,ﾏｯｽﾙｽｰﾂ　2B034　　　農林061　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
26,0,ﾏｯｽﾙｽｰﾂ　2B035　　　農林062　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
27,0,ﾏｯｽﾙｽｰﾂ　2B036　　　農林063　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
28,0,ﾏｯｽﾙｽｰﾂ　2B037　　　農林064　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
29,0,ﾏｯｽﾙｽｰﾂ　2B038　　　農林065　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
30,0,ﾏｯｽﾙｽｰﾂ　2B039　　　農林066　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
31,0,ﾏｯｽﾙｽｰﾂ　2B040　　　農林067　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
32,0,ﾏｯｽﾙｽｰﾂ　2B041　　　農林068　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
33,0,ﾏｯｽﾙｽｰﾂ　2B042　　　農林069　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
34,0,ﾏｯｽﾙｽｰﾂ　2B043　　　農林070　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
35,0,ﾏｯｽﾙｽｰﾂ　2B044　　　農林071　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
36,0,ﾏｯｽﾙｽｰﾂ　2B045　　　農林072　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
37,0,ﾏｯｽﾙｽｰﾂ　2B046　　　農林073　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
38,0,ﾏｯｽﾙｽｰﾂ　2B047　　　農林074　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
39,0,ﾏｯｽﾙｽｰﾂ　2B048　　　農林075　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
41,0,ﾏｯｽﾙｽｰﾂ　2B050　　　農林077　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
42,0,ﾏｯｽﾙｽｰﾂ　2B051　　　農林078　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
43,0,ﾏｯｽﾙｽｰﾂ　2B052　　　農林079　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
44,0,ﾏｯｽﾙｽｰﾂ　2B053　　　農林080　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
45,0,ﾏｯｽﾙｽｰﾂ　2B054　　　農林081　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
46,0,ﾏｯｽﾙｽｰﾂ　2B055　　　農林082　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
